pb_uid,type,af,class,range,df,mf
21,ATG,8,A,5,3,0
22,ATG,8,A,5,3,0
31,ATG,12,A,6,2,0
32,ATG,12,A,6,2,0
33,ATG,12,A,6,2,0
41,ATG,20,A,20,1,0
42,ATG,20,A,20,1,0
51,Flak,4,H,10,1,0
52,Flak,4,H,10,1,0
53,Flak,14,H,10,1,0
54,Flak,14,H,10,1,0
61,How,2,H,12,2,0
62,How,2,H,12,2,0
63,How,2,H,12,2,0
64,How,2,H,12,2,0
71,How,20,H,12,2,0
72,How,20,H,12,2,0
81,Mortar,3,M,12,3,1
82,Mortar,3,M,12,3,1
83,Mortar,3,M,12,3,1
84,Mortar,3,M,12,3,1
91,Mortar,15,M,20,2,1
92,Mortar,15,M,20,2,1
93,Mortar,15,M,20,2,1
94,Mortar,15,M,20,2,1
111,Engineer,3,I ,4,10,1
112,Engineer,3,I,4,10,1
113,Engineer,3,I,4,10,1
121,Security,2,I,4,5,1
122,Security,2,I,4,5,1
123,Security,2,I,4,5,1
141,Rifle,3,I,6,8,1
142,Rifle,3,I,6,8,1
143,Rifle,3,I,6,8,1
144,Rifle,3,I,6,8,1
145,Rifle,3,I,6,8,1
146,Rifle,3,I,6,8,1
147,Rifle,3,I,6,8,1
148,Rifle,3,I,6,8,1
149,Rifle,3,I,6,8,1
151,Rifle,3,I,6,8,1
152,Rifle,3,I,6,8,1
153,Rifle,3,I,6,8,1
154,Rifle,3,I,6,8,1
155,Rifle,3,I,6,8,1
156,Rifle,3,I,6,8,1
157,Rifle,3,I,6,8,1
158,Rifle,3,I,6,8,1
159,Rifle,3,I,6,8,1
181,Submachine,6,I,3,6,1
182,Submachine,6,I,3,6,1
183,Submachine,6,I,3,6,1
184,Submachine,6,I,3,6,1
185,Submachine,6,I,3,6,1
186,Submachine,6,I,3,6,1
201,CP,0,-,0,1,0
202,CP,0,-,0,1,0
203,CP,0,-,0,1,0
411,Wagon,0,C ,0,1,3
412,Wagon,0,C,0,1,3
413,Wagon,0,C,0,1,3
414,Wagon,0,C,0,1,3
421,Truck,0,C,0,1,12
422,Truck,0,C,0,1,12
423,Truck,0,C,0,1,12
424,Truck,0,C,0,1,12
425,Truck,0,C,0,1,12
425,Truck,0,C,0,1,12
427,Truck,0,C,0,1,12
428,Truck,0,C,0,1,12
429,Truck,0,C,0,1,12
431,Truck,0,C,0,1,12
432,Truck,0,C,0,1,12
433,Truck,0,C,0,1,12
434,Truck,0,C,0,1,12
435,Truck,0,C,0,1,12
436,Truck,0,C,0,1,12
437,Truck,0,C,0,1,12
441,Halftrack,2,C(I),4,4,10
442,Halftrack,2,C(I),4,4,10
443,Halftrack,2,C(I),4,4,10
444,Halftrack,2,C(I),4,4,10
445,Halftrack,2,C(I),4,4,10
446,Halftrack,2,C(I),4,4,10
447,Halftrack,2,C(I),4,4,10
448,Halftrack,2,C(I),4,4,10
449,Halftrack,2,C(I),4,4,10
451,Halftrack,2,C(I),4,4,10
452,Halftrack,2,C(I),4,4,10
510,Puma-SdKfz 234/2,6,A,5,3,14
520,SdKfz 234/1,13,A,8,3,14
531,SdKfz 234/4,2,H,4,3,16
532,SdKfz 234/4,2,H,4,3,16
533,SdKfz 234/4,2,H,4,3,16
610,Maultier,50,H,12,4,10
621,Wespe,40,H,32,4,10
622,Wespe,40,H,32,4,10
623,Wespe,40,H,32,4,10
631,Hummel,60,H,24,6,8
632,Hummel,60,H,24,6,8
710,Gw 38,10,H,12,5,6
721,Wirbelwind,14,H,10,6,8
722,Wirbelwind,14,H,10,6,8
730,Stu H 42,14,H,12,12,8
811,Marder III,12,A,8,7,8
812,Marder III,12,A,8,7,8
821,StuG III,12,A,8,12,8
822,StuG III,12,A,8,12,8
823,StuG III,12,A,8,12,8
824,StuG III,12,A,8,12,8
831,Hetzer,12,A,8,12,6
832,Hetzer,12,A,8,12,6
840,JgdPz IV,16,A,12,9,8
850,Nashorn,20,A,20,6,8
861,JgdPz V,20,A,12,15,9
862,JgdPz V,20,A,12,15,9
870,JgdPz VI,22,A,12,18,5
910,Lynx,2,A,4,6,10
931,PzKpfw IV,14,A,8,8,8
932,PzKpfw IV,14,A,8,8,8
933,PzKpfw IV,14,A,8,8,8
934,PzKpfw IV,14,A,8,8,8
935,PzKpfw IV,14,A,8,8,8
936,PzKpfw IV,14,A,8,8,8
937,PzKpfw IV,14,A,8,8,8
938,PzKpfw IV,14,A,8,8,8
939,PzKpfw IV,14,A,8,8,8
941,PzKpfw IV,14,A,8,8,8
942,PzKpfw IV,14,A,8,8,8
943,PzKpfw IV,14,A,8,8,8
951,Panther,16,A,12,12,10
952,Panther,16,A,12,12,10
953,Panther,16,A,12,12,10
954,Panther,16,A,12,12,10
955,Panther,16,A,12,12,10
956,Panther,16,A,12,12,10
957,Panther,16,A,12,12,10
958,Panther,16,A,12,12,10
959,Panther,16,A,12,12,10
961,Panther,16,A,12,12,10
962,Panther,16,A,12,12,10
963,Panther,16,A,12,12,10
971,Tiger I,15,A,12,12,8
972,Tiger I,15,A,12,12,8
981,Tiger II,20,A,12,16,6
982,Tiger II,20,A,12,16,6
1111,Fort,0,-,0,40,0
1112,Fort,0,-,0,40,0
1113,Fort,0,-,0,40,0
1114,Fort,0,-,0,40,0
1115,Fort,0,-,0,40,0
1116,Fort,0,-,0,40,0
1117,Fort,0,-,0,40,0
1118,Fort,0,-,0,40,0
